id,arxivId,submitter,authors,title,comments,journalRef,doi,reportNo,categories,license,abstract,versions,updateDate,authorsParsed
11,707.3269,Laurent Romary,"Laurent Romary (INRIA Lorraine - LORIA), Nancy Ide (INRIA Lorraine -
  LORIA)",International Standard for a Linguistic Annotation Framework,,"Natural Language Engineering 10, 3-4 (09/2004) 211-225",,,cs.CL,,"  This paper describes the Linguistic Annotation Framework under development
within ISO TC37 SC4 WG1. The Linguistic Annotation Framework is intended to
serve as a basis for harmonizing existing language resources as well as
developing new ones.
","[{'version': 'v1', 'created': 'Sun, 22 Jul 2007 15:24:48 GMT'}]",2007-07-24,"[['Romary', 'Laurent', '', 'INRIA Lorraine - LORIA'], ['Ide', 'Nancy', '', 'INRIA Lorraine -\n  LORIA']]"
12,707.327,Laurent Romary,"Laurent Romary (INRIA Lorraine - LORIA), Nancy Ide, Adam Kilgarriff",A Formal Model of Dictionary Structure and Content,,"Dans Euralex 2000 Euralex 2000, Stuttgart : Allemagne (2000)",,,cs.CL,,"  We show that a general model of lexical information conforms to an abstract
model that reflects the hierarchy of information found in a typical dictionary
entry. We show that this model can be mapped into a well-formed XML document,
and how the XSL transformation language can be used to implement a semantics
defined over the abstract model to enable extraction and manipulation of the
information in any format.
","[{'version': 'v1', 'created': 'Sun, 22 Jul 2007 15:25:27 GMT'}]",2007-07-24,"[['Romary', 'Laurent', '', 'INRIA Lorraine - LORIA'], ['Ide', 'Nancy', ''], ['Kilgarriff', 'Adam', '']]"
13,707.3559,Wilson Wong,Wilson Wong,"Practical Approach to Knowledge-based Question Answering with Natural
  Language Understanding and Advanced Reasoning","Master of Science thesis, National Technical University College of
  Malaysia, 2005",,,,cs.CL cs.AI cs.HC cs.IR,,"  This research hypothesized that a practical approach in the form of a
solution framework known as Natural Language Understanding and Reasoning for
Intelligence (NaLURI), which combines full-discourse natural language
understanding, powerful representation formalism capable of exploiting
ontological information and reasoning approach with advanced features, will
solve the following problems without compromising practicality factors: 1)
restriction on the nature of question and response, and 2) limitation to scale
across domains and to real-life natural language text.
","[{'version': 'v1', 'created': 'Tue, 24 Jul 2007 14:30:27 GMT'}]",2007-07-25,"[['Wong', 'Wilson', '']]"
14,707.3972,Ted Pedersen,Ted Pedersen,Learning Probabilistic Models of Word Sense Disambiguation,195 pages,"PhD dissertation, May 1998, Department of Computer Science and
  Engineering, Southern Methodist University",,,cs.CL cs.AI,,"  This dissertation presents several new methods of supervised and unsupervised
learning of word sense disambiguation models. The supervised methods focus on
performing model searches through a space of probabilistic models, and the
unsupervised methods rely on the use of Gibbs Sampling and the Expectation
Maximization (EM) algorithm. In both the supervised and unsupervised case, the
Naive Bayesian model is found to perform well. An explanation for this success
is presented in terms of learning rates and bias-variance decompositions.
","[{'version': 'v1', 'created': 'Thu, 26 Jul 2007 17:02:40 GMT'}]",2009-09-29,"[['Pedersen', 'Ted', '']]"
15,708.0694,Maurice H. T. Ling,"Maurice HT Ling, Christophe Lefevre, Kevin R. Nicholas, and Feng Lin","Reconstruction of Protein-Protein Interaction Pathways by Mining
  Subject-Verb-Objects Intermediates","2nd IAPR Workshop on Pattern Recognition in Bioinformatics (PRIB
  2007). 14 pages, 4 figures","Ling, Maurice HT, Lefevre, Christophe, Nicholas, Kevin R, Lin,
  Feng. 2007. In J.C. Ragapakse, B. Schmidt, and G. Volkert (Eds.), PRIB 2007.
  Lecture Notes in Bioinformatics 4774: 286-299. Springer-Verlag.",,,cs.IR cs.CL cs.DL,,"  The exponential increase in publication rate of new articles is limiting
access of researchers to relevant literature. This has prompted the use of text
mining tools to extract key biological information. Previous studies have
reported extensive modification of existing generic text processors to process
biological text. However, this requirement for modification had not been
examined. In this study, we have constructed Muscorian, using MontyLingua, a
generic text processor. It uses a two-layered generalization-specialization
paradigm previously proposed where text was generically processed to a suitable
intermediate format before domain-specific data extraction techniques are
applied at the specialization layer. Evaluation using a corpus and experts
indicated 86-90% precision and approximately 30% recall in extracting
protein-protein interactions, which was comparable to previous studies using
either specialized biological text processing tools or modified existing tools.
Our study had also demonstrated the flexibility of the two-layered
generalization-specialization paradigm by using the same generalization layer
for two specialized information extraction tasks.
","[{'version': 'v1', 'created': 'Mon, 6 Aug 2007 01:22:46 GMT'}]",2007-08-07,"[['Ling', 'Maurice HT', ''], ['Lefevre', 'Christophe', ''], ['Nicholas', 'Kevin R.', ''], ['Lin', 'Feng', '']]"
16,708.1564,Stasinos Konstantopoulos,Stasinos Konstantopoulos,Learning Phonotactics Using ILP,,"Special Issue of the WEB-SLS Journal: The Language Sections of the
  ESSLLI-01 Student Session. 2002",,,cs.CL,,"  This paper describes experiments on learning Dutch phonotactic rules using
Inductive Logic Programming, a machine learning discipline based on inductive
logical operators. Two different ways of approaching the problem are
experimented with, and compared against each other as well as with related work
on the task. The results show a direct correspondence between the quality and
informedness of the background knowledge and the constructed theory,
demonstrating the ability of ILP to take good advantage of the prior domain
knowledge available. Further research is outlined.
","[{'version': 'v1', 'created': 'Sat, 11 Aug 2007 13:09:27 GMT'}]",2007-08-14,"[['Konstantopoulos', 'Stasinos', '']]"
17,708.2303,W Saba,Walid S. Saba,Compositional Semantics Grounded in Commonsense Metaphysics,,,,,cs.AI cs.CL,,"  We argue for a compositional semantics grounded in a strongly typed ontology
that reflects our commonsense view of the world and the way we talk about it in
ordinary language. Assuming the existence of such a structure, we show that the
semantics of various natural language phenomena may become nearly trivial.
","[{'version': 'v1', 'created': 'Fri, 17 Aug 2007 01:15:11 GMT'}, {'version': 'v2', 'created': 'Fri, 31 Aug 2007 17:48:14 GMT'}]",2009-09-29,"[['Saba', 'Walid S.', '']]"
18,709.0116,Fionn Murtagh,Fionn Murtagh,On Ultrametric Algorithmic Information,"Forthcoming, Computer Journal. Minor corrections 29 Oct. 2007","Computer Journal, 53, 405-416, 2010",10.1093/comjnl/bxm084,,cs.AI cs.CL,,"  How best to quantify the information of an object, whether natural or
artifact, is a problem of wide interest. A related problem is the computability
of an object. We present practical examples of a new way to address this
problem. By giving an appropriate representation to our objects, based on a
hierarchical coding of information, we exemplify how it is remarkably easy to
compute complex objects. Our algorithmic complexity is related to the length of
the class of objects, rather than to the length of the object.
","[{'version': 'v1', 'created': 'Sun, 2 Sep 2007 17:00:40 GMT'}, {'version': 'v2', 'created': 'Sat, 29 Sep 2007 11:21:51 GMT'}]",2011-06-14,"[['Murtagh', 'Fionn', '']]"
19,709.2401,Timothy Baldwin,Timothy Baldwin,Bootstrapping Deep Lexical Resources: Resources for Courses,,"In Proceedings of the ACL-SIGLEX 2005 Workshop on Deep Lexical
  Acquisition, Ann Arbor, USA, pp. 67-76",,,cs.CL,,"  We propose a range of deep lexical acquisition methods which make use of
morphological, syntactic and ontological language resources to model word
similarity and bootstrap from a seed lexicon. The different methods are
deployed in learning lexical items for a precision grammar, and shown to each
have strengths and weaknesses over different word classes. A particular focus
of this paper is the relative accessibility of different language resource
types, and predicted ``bang for the buck'' associated with each in deep lexical
acquisition applications.
","[{'version': 'v1', 'created': 'Sat, 15 Sep 2007 01:37:21 GMT'}]",2007-09-18,"[['Baldwin', 'Timothy', '']]"
20,710.0009,Adam Lipowski,Adam Lipowski and Dorota Lipowska,"Bio-linguistic transition and Baldwin effect in an evolutionary
  naming-game model","7 pages, minor changes, accepted in Int.J.Mod.Phys.C, proceedings of
  Max Born Symp. Wroclaw (Poland), Sept. 2007. Java applet is available at
  http://spin.amu.edu.pl/~lipowski/biolin.html or
  http://www.amu.edu.pl/~lipowski/biolin.html","Int.J.Mod.Phys. C vol.19, pp. 399-407 (2008)",10.1142/S0129183108012248,,cs.CL cond-mat.stat-mech cs.AI physics.soc-ph q-bio.PE,,"  We examine an evolutionary naming-game model where communicating agents are
equipped with an evolutionarily selected learning ability. Such a coupling of
biological and linguistic ingredients results in an abrupt transition: upon a
small change of a model control parameter a poorly communicating group of
linguistically unskilled agents transforms into almost perfectly communicating
group with large learning abilities. When learning ability is kept fixed, the
transition appears to be continuous. Genetic imprinting of the learning
abilities proceeds via Baldwin effect: initially unskilled communicating agents
learn a language and that creates a niche in which there is an evolutionary
pressure for the increase of learning ability.Our model suggests that when
linguistic (or cultural) processes became intensive enough, a transition took
place where both linguistic performance and biological endowment of our species
experienced an abrupt change that perhaps triggered the rapid expansion of
human civilization.
","[{'version': 'v1', 'created': 'Mon, 1 Oct 2007 09:39:49 GMT'}, {'version': 'v2', 'created': 'Sun, 21 Oct 2007 13:20:17 GMT'}]",2009-11-13,"[['Lipowski', 'Adam', ''], ['Lipowska', 'Dorota', '']]"
21,710.0105,Dmitrii Manin,Dmitrii Manin,Zipf's Law and Avoidance of Excessive Synonymy,47 pages; fixed reference list missing in v.1,"Main text in Cognitive Science, 32 (7) 2008, pp. 1075 - 1098;
  Appendix A TBP separately in J. Quant. Ling.",10.1080/03640210802020003,,cs.CL physics.soc-ph,,"  Zipf's law states that if words of language are ranked in the order of
decreasing frequency in texts, the frequency of a word is inversely
proportional to its rank. It is very robust as an experimental observation, but
to date it escaped satisfactory theoretical explanation. We suggest that Zipf's
law may arise from the evolution of word semantics dominated by expansion of
meanings and competition of synonyms.
","[{'version': 'v1', 'created': 'Sun, 30 Sep 2007 03:21:54 GMT'}, {'version': 'v2', 'created': 'Wed, 3 Oct 2007 03:36:45 GMT'}]",2009-01-22,"[['Manin', 'Dmitrii', '']]"
22,710.0169,Andrew Krizhanovsky A,A. A. Krizhanovsky,"Evaluation experiments on related terms search in Wikipedia: Information
  Content and Adapted HITS (In Russian)","10 pages, 1 figure, 3 tables, in Russian, short version of the paper
  to be published in Proceedings of the Wiki-Conference 2007, Russia, St.
  Petersburg, October 27-28. http://tinyurl.com/2czd6e ; v3: +figure; v4: typo
  in Table 3; v5: +desc (res_hypo formula); v6: typo",,,,cs.IR cs.CL,,"  The classification of metrics and algorithms search for related terms via
WordNet, Roget's Thesaurus, and Wikipedia was extended to include adapted HITS
algorithm. Evaluation experiments on Information Content and adapted HITS
algorithm are described. The test collection of Russian word pairs with
human-assigned similarity judgments is proposed.
  -----
  Klassifikacija metrik i algoritmov poiska semanticheski blizkih slov v
tezaurusah WordNet, Rozhe i jenciklopedii Vikipedija rasshirena adaptirovannym
HITS algoritmom. S pomow'ju jeksperimentov v Vikipedii oceneny metrika
Information Content i adaptirovannyj algoritm HITS. Predlozhen resurs dlja
ocenki semanticheskoj blizosti russkih slov.
","[{'version': 'v1', 'created': 'Mon, 1 Oct 2007 16:04:52 GMT'}, {'version': 'v2', 'created': 'Wed, 3 Oct 2007 06:21:01 GMT'}, {'version': 'v3', 'created': 'Sat, 6 Oct 2007 15:38:57 GMT'}, {'version': 'v4', 'created': 'Sun, 14 Oct 2007 14:44:03 GMT'}, {'version': 'v5', 'created': 'Sun, 4 Nov 2007 11:05:26 GMT'}, {'version': 'v6', 'created': 'Wed, 16 Jan 2008 17:31:14 GMT'}]",2008-01-16,"[['Krizhanovsky', 'A. A.', '']]"
23,710.0225,Dmitry Lande,"D.V. Lande, A.A. Snarskii",On the role of autocorrelations in texts,"5 pages, 4 figures, 5 references",,,,cs.CL,,"  The task of finding a criterion allowing to distinguish a text from an
arbitrary set of words is rather relevant in itself, for instance, in the
aspect of development of means for internet-content indexing or separating
signals and noise in communication channels. The Zipf law is currently
considered to be the most reliable criterion of this kind [3]. At any rate,
conventional stochastic word sets do not meet this law. The present paper deals
with one of possible criteria based on the determination of the degree of data
compression.
","[{'version': 'v1', 'created': 'Mon, 1 Oct 2007 08:23:24 GMT'}]",2007-10-02,"[['Lande', 'D. V.', ''], ['Snarskii', 'A. A.', '']]"
24,710.0228,Dmitry Lande,"S. Braichevsky, D. Lande, A. Snarskii","On the fractal nature of mutual relevance sequences in the Internet news
  message flows","6 pages, 56 figures",,,,cs.CL,,"  In the task of information retrieval the term relevance is taken to mean
formal conformity of a document given by the retrieval system to user's
information query. As a rule, the documents found by the retrieval system
should be submitted to the user in a certain order. Therefore, a retrieval
perceived as a selection of documents formally solving the user's query, should
be supplemented with a certain procedure of processing a relevant set. It would
be natural to introduce a quantitative measure of document conformity to query,
i.e. the relevance measure. Since no single rule exists for the determination
of the relevance measure, we shall consider two of them which are the simplest
in our opinion. The proposed approach does not suppose any restrictions and can
be applied to other relevance measures.
","[{'version': 'v1', 'created': 'Mon, 1 Oct 2007 08:31:56 GMT'}]",2007-10-02,"[['Braichevsky', 'S.', ''], ['Lande', 'D.', ''], ['Snarskii', 'A.', '']]"
25,710.1481,Stasinos Konstantopoulos,Stasinos Konstantopoulos,What's in a Name?,"Presented at the Computational Phonology Workshop, 6th Intl. Conf.
  Recent Advances in NLP, Borovets, Bulgaria, September 2007",,,,cs.CL cs.AI,,"  This paper describes experiments on identifying the language of a single name
in isolation or in a document written in a different language. A new corpus has
been compiled and made available, matching names against languages. This corpus
is used in a series of experiments measuring the performance of general
language models and names-only language models on the language identification
task. Conclusions are drawn from the comparison between using general language
models and names-only language models and between identifying the language of
isolated names and the language of very short document fragments. Future
research directions are outlined.
","[{'version': 'v1', 'created': 'Mon, 8 Oct 2007 08:36:32 GMT'}]",2007-10-09,"[['Konstantopoulos', 'Stasinos', '']]"
26,710.1511,Damian H. Zanette,Damian H. Zanette,Demographic growth and the distribution of language sizes,To appear in Int. J. Mod. Phys. C (2008),,10.1142/S0129183108012042,,physics.data-an cs.CL physics.soc-ph,,"  It is argued that the present log-normal distribution of language sizes is,
to a large extent, a consequence of demographic dynamics within the population
of speakers of each language. A two-parameter stochastic multiplicative process
is proposed as a model for the population dynamics of individual languages, and
applied over a period spanning the last ten centuries. The model disregards
language birth and death. A straightforward fitting of the two parameters,
which statistically characterize the population growth rate, predicts a
distribution of language sizes in excellent agreement with empirical data.
Numerical simulations, and the study of the size distribution within language
families, validate the assumptions at the basis of the model.
","[{'version': 'v1', 'created': 'Mon, 8 Oct 2007 11:16:51 GMT'}]",2009-11-13,"[['Zanette', 'Damian H.', '']]"
27,710.2446,Catherine Recanati,"Catherine Recanati (LIPN), Nicoleta Rogovschi (LIPN), Youn\`es Bennani
  (LIPN)","The structure of verbal sequences analyzed with unsupervised learning
  techniques",,"Dans Proceedings - The 3rd Language & Technology Conference: Human
  Language Technologies as a Challenge for Computer Science and Linguistics,
  Poznan : Pologne (2007)",,,cs.CL cs.AI cs.LG,,"  Data mining allows the exploration of sequences of phenomena, whereas one
usually tends to focus on isolated phenomena or on the relation between two
phenomena. It offers invaluable tools for theoretical analyses and exploration
of the structure of sentences, texts, dialogues, and speech. We report here the
results of an attempt at using it for inspecting sequences of verbs from French
accounts of road accidents. This analysis comes from an original approach of
unsupervised training allowing the discovery of the structure of sequential
data. The entries of the analyzer were only made of the verbs appearing in the
sentences. It provided a classification of the links between two successive
verbs into four distinct clusters, allowing thus text segmentation. We give
here an interpretation of these clusters by applying a statistical analysis to
independent semantic annotations.
","[{'version': 'v1', 'created': 'Fri, 12 Oct 2007 12:44:11 GMT'}]",2007-10-15,"[['Recanati', 'Catherine', '', 'LIPN'], ['Rogovschi', 'Nicoleta', '', 'LIPN'], ['Bennani', 'Younès', '', 'LIPN']]"
28,710.2674,James Ford,James Ford,Linguistic Information Energy,"10 pages, 7 graphs",,,,cs.CL cs.IT math.IT,,"  In this treatment a text is considered to be a series of word impulses which
are read at a constant rate. The brain then assembles these units of
information into higher units of meaning. A classical systems approach is used
to model an initial part of this assembly process. The concepts of linguistic
system response, information energy, and ordering energy are defined and
analyzed. Finally, as a demonstration, information energy is used to estimate
the publication dates of a series of texts and the similarity of a set of
texts.
","[{'version': 'v1', 'created': 'Sun, 14 Oct 2007 16:09:53 GMT'}]",2007-10-16,"[['Ford', 'James', '']]"
29,710.2852,Sebastien Hinderer,"Patrick Blackburn (INRIA Lorraine - LORIA), S\'ebastien Hinderer
  (INRIA Lorraine - LORIA)",Generating models for temporal representations,,Dans Recent Advances in Natural Language Processing (2007) 69-75,,,cs.CL,,"  We discuss the use of model building for temporal representations. We chose
Polish to illustrate our discussion because it has an interesting aspectual
system, but the points we wish to make are not language specific. Rather, our
goal is to develop theoretical and computational tools for temporal model
building tasks in computational semantics. To this end, we present a
first-order theory of time and events which is rich enough to capture
interesting semantic distinctions, and an algorithm which takes minimal models
for first-order theories and systematically attempts to ``perturb'' their
temporal component to provide non-minimal, but semantically significant,
models.
","[{'version': 'v1', 'created': 'Mon, 15 Oct 2007 15:45:13 GMT'}]",2007-10-16,"[['Blackburn', 'Patrick', '', 'INRIA Lorraine - LORIA'], ['Hinderer', 'Sébastien', '', 'INRIA Lorraine - LORIA']]"
30,710.2988,Paul Bedaride,Paul Bedaride (INRIA Lorraine - Loria),Using Description Logics for Recognising Textual Entailment,,"Dans 19th European Summer School in Logic, Language and
  Information (2007) 11-21",,,cs.CL,,"  The aim of this paper is to show how we can handle the Recognising Textual
Entailment (RTE) task by using Description Logics (DLs). To do this, we propose
a representation of natural language semantics in DLs inspired by existing
representations in first-order logic. But our most significant contribution is
the definition of two novel inference tasks: A-Box saturation and subgraph
detection which are crucial for our approach to RTE.
","[{'version': 'v1', 'created': 'Tue, 16 Oct 2007 09:16:24 GMT'}]",2007-10-17,"[['Bedaride', 'Paul', '', 'INRIA Lorraine - Loria']]"
